"latitude","longitude","sample_date","sample_month","sample_year","daily_value"
32.631231,-117.059075,28,12,2006,10.2
32.631231,-117.059075,31,7,2006,3.8
32.631231,-117.059075,8,10,2006,12.1
32.631231,-117.059075,11,10,2006,10.5
32.631231,-117.059075,25,11,2006,9.8
32.631231,-117.059075,28,11,2006,5.2
32.631231,-117.059075,8,1,2006,22.2
32.631231,-117.059075,29,1,2006,21
32.631231,-117.059075,4,2,2006,30.2
32.631231,-117.059075,16,2,2006,8.7
32.631231,-117.059075,23,5,2006,5.3
32.631231,-117.059075,4,6,2006,12.8
32.631231,-117.059075,10,6,2006,8
32.631231,-117.059075,10,7,2006,12.4
32.631231,-117.059075,20,1,2006,9.5
32.631231,-117.059075,23,1,2006,8.2
32.631231,-117.059075,3,3,2006,6.4
32.631231,-117.059075,15,3,2006,6.7
32.631231,-117.059075,26,4,2006,5.9
32.631231,-117.059075,5,5,2006,7.7
32.631231,-117.059075,29,5,2006,9.5
32.631231,-117.059075,13,6,2006,7.7
32.631231,-117.059075,16,6,2006,13
32.631231,-117.059075,22,6,2006,15.3
32.631231,-117.059075,7,7,2006,11.2
32.631231,-117.059075,13,7,2006,7.7
32.631231,-117.059075,28,7,2006,4.3
32.631231,-117.059075,18,8,2006,10.6
32.631231,-117.059075,5,9,2006,12.7
32.631231,-117.059075,8,9,2006,13.4
32.631231,-117.059075,14,9,2006,11
32.631231,-117.059075,29,9,2006,16.8
32.631231,-117.059075,19,11,2006,18.5
32.631231,-117.059075,22,11,2006,18.6
32.631231,-117.059075,1,12,2006,11.1
32.631231,-117.059075,6,8,2006,6.4
32.631231,-117.059075,12,8,2006,11.8
32.631231,-117.059075,17,9,2006,10.7
32.631231,-117.059075,20,10,2006,7.5
32.631231,-117.059075,7,11,2006,7.2
32.631231,-117.059075,16,11,2006,8.3
32.631231,-117.059075,10,12,2006,7.5
32.631231,-117.059075,8,4,2006,7
32.631231,-117.059075,11,4,2006,5.2
32.631231,-117.059075,23,4,2006,3.2
32.631231,-117.059075,20,5,2006,10.2
32.631231,-117.059075,25,6,2006,16.1
32.631231,-117.059075,20,9,2006,11.5
32.631231,-117.059075,16,12,2006,5.8
32.631231,-117.059075,19,12,2006,7.9
32.631231,-117.059075,31,12,2006,19.7
32.631231,-117.059075,5,1,2006,6.3
